No,Dok.,Ulasan,Ground Truth,Pediksi,Sesuai
11,605,"Kami punya kamar dengan balkon di lantai 1st, menghadap ke kolam renang. Kamar yang bagus tapi agak kecil. Tidak ada yang khusus tentang hotel ini. Hanya tinggal di sana selama 1 malam untuk bisnis. Lemari es tidak dingin. Saya mencoba menghubungi resepsionis tapi mereka bilang kondisi seperti itu.",negatif,positif,0
12,615,"Kami tiba di kami harus menunggu 3pm dan tentang satu jam untuk memeriksa ke dalam kamar. Mereka berkata bahwa kamar kami belum siap. Sementara itu, anak-anak saya sudah lelah dan ingin beristirahat untuk sementara waktu",negatif,negatif,1
13,620,"Kamar bersih tapi dinding benar-benar tipis, sehingga anda dapat mendengar tetangga anda memiliki percakapan. Tapi kotor dan berjumbai!. . Ada terbatas minuman beralkohol di sini. Makanan yang tidak besar. . Tidak mendapatkan kesempatan untuk mencoba kolam renang. . Tidak mendapatkan. ",negatif,negatif,1
14,621,"Kami merasa bahwa hotel ini perlu banyak perbaikan dalam layanan terutama jangaka di restoran. 

Kami menginap di kamar dengan pemandangan kolam renang. Ini adalah kamar yang luas tetapi dengan mebel yang buruk dan tata letak. Terdapat bangku sofa yang panjang ini di bawah tv yang tidak benar-benar tujuan apapun. Tombol control manajemen yang buruk. Anda harus mematikan semua lampu agar anda dapat tidur nyenyak. Aku tidak biasanya melakukan ini. Biasanya saya tidur dengan lampu menyala, tetapi jika aku harus melakukannya, cahaya lampu yang terlalu terang. Dinding adalah kotor, perlu mengecat ulang atau membetah pada kedatangan sehingga tidak akan terlihat kotor dan berisik. 

Sarapan di restoran adalah tidak pengalaman yang menyenangkan. Kami tidak pergi ke meja, kami harus mencari sendiri meja. Itu adalah rumah penuh, jadi ketika kita menemukan sebuah meja, itu belum dibersihkan belum. jadi kami harus mencari staf untuk membersihkannya dan tidak banyak dari mereka. Ketika kami meminta untuk kursi tinggi, staf hanya tempat kursi di belakang kursi lain (aneh). Kopi dan teh tidak mementingkan diri sendiri. Mereka adalah baik-baik saja...

Secara Keseluruhan. Saya tidak berpikir hotel ini layak 4 bintang kualitas.",negatif,negatif,1
15,626,"Untuk harga itu. Kupikir aku pantas mendapatkan yang lebih baik. Aku memesan melalui pemesanan. com trun keluar dan itu tanpa sarapan, aku terkejut karena aku tidak melihat mereka menyebuntukan tentang hal itu dalam deskripsi. Akhir pekan yang sempurna. House keeping mengetuk setiap pagi bertanya untuk membersihkan kamar kami sementara kami sedang tidur dan aku lupa tu membetah memperusuh tidak masuk. Saya secara pribadi berpikir. Itu lebih baik untuk hanya menunjukkan cleabing setelah check out.. ",negatif,negatif,1
16,653,"Aku tinggal di hotel ini untuk liburan cepat untuk liburan dengan teman-teman saya pada 2 juni... Staf layanan baik tapi bisa lebih baik... aku tidak tahu jika aku kaulewatkan di pemberitahuan atau mereka semua sibuk, tapi aku tidak melihat apapun staf yang siap membantu tamu diperbolehkan di lobi atau di kamar tamu mereka (saya mengharapkan lebih karena ini adalah baru 4 bintang jika saya tidak mendapatkan tarif yang salah tentang bintang)... 

Fasilitas hotel bagus, mereka memiliki area kolam renang untuk anak-anak selain kolam renang, kegiatan untuk anak-anak di dekat kolam renang daerah (yang saya pikir itu adalah besar), pusat kebugaran, dan banyak fasilitas lainnya... 

Masalah utama bagi saya adalah, di kamar hotel, tempat ini perlu pemeliharaan. Kendati baru 2 tahun di hotel kelas bintang 4, dan bintang-bintang.
- tidak banyak pilihan saluran tv internasional (yah, ini hanya masalah kecil bagi saya meskipun)
tempat ini - beberapa meja kecil (sebagai merek hotel harris lainnya warna) yang sudah terkelupas di sana-sini, mengungkapkan noda hitam... 
- kamar kebersihan harus ditingkatkan seperti saya dapat merasa debu di bawah demes sofa tempat tidur ketika aku pindah itu.
- kamar mandi, beberapa bersama lembidang telah robek membuatnya tampak seperti handuk baru. Sebagian besar adalah ujung rekto sehingga iooks ladah. Kamar mandi itu tidak cukup panas di malam pertama, tetapi mendapat lebih baik di pagi hari berikutnya.

- jalan utama lalu lintas di luar hotel ini relatif cepat karena ini terletak di jalan utama atau untuk pergi keluar di kota, juga dekat ke beberapa lebih... sehingga tidak bagus jika anda ingin pergi ke luar untuk mendapatkan makanan atau pergi ke suatu tempat...

Selain itu, keluarga holiday hotel... Dan harga juga masuk akal dan pada...",negatif,positif,0
17,660,"Tidur di sini adalah mustahil. Karena fundamentil melihat desain interior, anda akan mendengar setiap tidak selalu, setiap klik dan tinggi tumit setiap melakukanflip gagal saat mereka berjalan di lorong. Penggunaan lantai terlalu keras, dan pintu-pintu yang merupakan sentuhan kecil untuk pintu kamar nyelein berarti sejarah oleh kebisingan dan polusi cahaya. Ini adalah rasa malu, karena hotel itu sendiri adalah baik-baik saja. Kamar-kamar kami terang, staf tampak bagus, taman yang luas. Namun, kecuali jika anda adalah burung awal, atau tidak memerlukan banyak tidur, anda tidak akan menikmati pengalaman menginap yang santai. Jika anda tinggal, anda juga membayar bersikera kamar dekat lift atau tangga lobi. Cn tower juga direkomendasikannya. Anda juga akan mendengar kamar di atas anda bergerak di sekitar dan ketika mereka bermandiin. Para desainer dan arsitek catatan untuk interiur - anda harus mempertimbangkan akustik ketika merancang, atau sisa dari hotel upaya pelestarian memperharapkan untuk apa-apa.",negatif,positif,0
18,671,"Kami tinggal di hotel ini untuk menghadiri pernikahan sepupu saya htel. Aku kecewa karena tidak ada staf yang pakingservice tersedia. Para pelayan yang juga tempat untuk dilihat, jadi aku harus mengeluh ke depan lebih dulu sebelum kami akhirnya berhasil mendapatkan bantuan dengan koper kami. Kami bepergian dengan kami 2 todlers dan pengasuh mereka, kita punya beberapa koper kami harus carriied ouselves dari parkir ke lobi depan. Itu tidak menyenangkan. Tidak ada koneksi wifi juga. Sarapan prasmanan adalah besar, tthough.",negatif,positif,0
19,683,"Tinggal di ""pool access"" kamar-2 orang dewasa, 2 anak-anak usia 8 & 10 dan 2 tahun bayi semua di satu kamar. Satu anak tidur di sofa, satu di tambahan kasur kecil bahwa kami membawa diri dan bayi di portable ranjang bayi yang kami bawa. Kami membawa kita sendiri lembar dan tambahan selimut karena kami tahu harris selalu biaya tambahan untuk item ini - mereka bahkan biaya untuk handuk ekstra.

Anak-anak mencintai tinggal karena kolam renang dengan seluncuran air. The ""dino club"" layanan besar untuk menghibur semua 3 anak-anak juga. Kamarnya cukup besar bagi kita semua dan sangat segar dan bersih. Tempat tidur yang nyaman, kamar mandi yang baik dan pancuran - segala sesuatu yang anda harapkan dari tempat seperti ini.

Tapi beberapa hal dapat ditingkatkan...
Hotel ini terletak keluar dari kota sekitar 9 km, jadi itu cukup damai dan memiliki alasan yang indah. Kami menginap untuk 4 malam dan meminta hotel untuk memanggil kita taksi untuk menjemput kami untuk tamasya pada 4 kesempatan yang berbeda. Setiap kali taksi menolak untuk datang karena volume tinggi lalu lintas di luar (yang sekarang khas kota malang). Apa besar hotel tidak dapat mengatur taksi untuk anda? Meskipun memiliki setidaknya 3 hotel yang dimiliki minivan di luar lobi, hotel tidak menawarkan layanan antar jemput ke kota. Kecuali jika anda memiliki mobil anda sendiri anda akan terjebak di hotel. 

Makanan di sini adalah benar-benar membosankan, terutama jika anda terjebak di sini seperti kami. Gado-gado tidak segar. Itu telah dipersiapkan sebelumnya dan seluruh hidangan yang diletakkan di kamar dingin - kerupuk dan saus kacang dan semua. Ketika saya mengeluh mereka mengambil itu jauh dan hanya re-berlapis dengan tomat segar! Saya bilang itu tidak dapat diterima dan untuk membatalkan pesanan - jawabannya adalah bahwa makanan adalah ""standar hotel"" dan pembatalan tidak diizinkan. Hanya setelah mengeluh lagi apakah mereka memberikan di dan membatalkan itu.

Pada malam pertama di sini kamar di atas kamar kami sedang dibersihkan baik lewat tengah malam dan suara kursi pindah di sekitar pergi kanan melalui lantai - sangat menjengkelkan. Malam ketiga di persis tengah malam kamar sebelah kami mulai dibersihkan menggunakan yang tinggi didukung kasur dan sangat berisik penyedot debu. Pembersih kamar meminta maaf ketika saya bangun dan mengeluh ke dia langsung.

Kesimpulannya... kamarnya bagus dan terang dan anak-anak menyukainya; namun karena miskin variasi makanan sangat membosankan untuk orang dewasa. Saya tidak akan tinggal di sini lagi kecuali hotel ditangani (1) variasi dan kesegaran makanan, membersihkan kamar (2) dan (3) manajemen transportasi pilihan di luar hotel.",negatif,positif,0
20,690,"Meskipun mereka memiliki besar fasilitas (anak-anak anda akan menyukai mereka kolam renang tingkat 4). Saya sudah kecewa dengan waktu kedatangan kami untuk check-in. Kami tiba di 13:30 dan masih harus menunggu sampai 3 pm untuk memeriksa di. Resepsionis mengatakan bahwa karena acara tahun baru, ada banyak tamu yang late check out (tidak tahu jika mereka biaya untuk check out terlambat atau tidak). Kami punya kamar kami setelah saya balita mendapatkan marah dan menangis keras setelah perjalanan panjang dengan pesawat.
Di kamar, kami menemukan tempat tidur kami menutupi masih memiliki noda walaupun telah dicuci.
Sarapan ok dan mereka memiliki babychairs. Ketika layanan ini lebih baik, hotel ini bagus untuk keluarga.",negatif,negatif,1
21,713,"Saya dan istri saya telah menggunakan gym di sini sebagai anggota selama sekitar 5 minggu.
@ 2 siang dan sore hari. Istri saya memiliki pengalaman mengerikan, yang menurut pendapat saya seharusnya tidak terjadi di sebuah hotel.

Setelah berolahraga, kami berdua mengambil mandi di kamar mandi di gym. Afterbath. Saya duduk di sofa, menunggu untuk istri saya. Ketika dia datang, dia menggigil dan mengatakan kepada saya bahwa ada seseorang menggunakan ponsel mencoba untuk memberikan kepadanya ketika mandi. Waktu itu dia jelas melihat ada seseorang memegang ponsel di bawah pintu kamar mandi, ponsel adalah blok ke arahnya.
Dia kaget dan tiba-tiba bergerak ke sudut, menunggu sampai orang itu pergi.
Sayangnya. Istri saya tidak tahu siapa itu, tetapi dalam pendapat kami itu pasti salah satu staf di biaya.

Pada saat itu, hanya ada 2 staf laki-laki shift di standby, dan jelas ada tidak ada orang lain selain kami melambangkan pengaruh di siang/sore sekitar 2-3 pm. Dan kami tidak tahu berapa kali ini terjadi.

Fyi: 
1) gym's pintu kamar mandi memiliki kesenjangan yang besar di bawah sisi
2) staf laki-laki dapat dengan bebas masuk toilet wanita. Menurut saya, toilet perempuan membersihkan staf atau layanan harus terbatas dan dilakukan oleh staf perempuan!

Setelah pengalaman mengerikan ini, kami pasti tidak akan datang kembali lagi untuk latihan!
Saya berbagi ini agar manajemen hotel mengambil catatan dan mungkin memberikan pendidikan moral untuk staf mereka untuk tidak seperti perilaku tidak patut! 
Berharap bahwa hal seperti itu tidak akan terjadi ke hotel lain tamu atau anggota.",negatif,negatif,1
22,729,"Ini adalah hotel baru di malang. Residency terletak di dalam sebuah area bernama riverside. Itu adalah sekitar 6 km ke utara dari pusat kota. Ikuti malang - Surabaya jalan utama kemudian anda akan melihat harris penunjuknya di sepanjang jalan. Hanya sebelum anda mendapatkan keluar dari kota anda akan menggelogok riverside daerah residency, belok kiri, ikuti jalan dan di deathend jalan anda akan menemukan gedung yang besar dari hotel.
bangunan ini bagus, tapi hotel ini jauh dari pusat kota dan tujuan wisata. Kekurangan utama adalah pelayanannya. Layanan terburuk, mungkin karena mereka difasilitasi untuk banyak acara di waktu yang sama.
Sarapan adalah rata-rata, tidak ada yang istimewa. Rasa makanan yang rata-rata. Tapi mereka menyediakan sarapan area menghadap ke kolam renang sehingga kami bisa melihat pemandangan indah saat sarapan.
kamarnya sederhana dan minimalis, sangat baik bahwa mereka menyediakan dipan, pemanas air dan pengering rambut.
Layanan kamarnya bahkan terburuk, tanggapan mereka mengeluh atau apapun sangat lambat dan ketika layanan kamar perwira datang, tidak ada senyum dan tidak ada keramahan sama sekali karena jika tamu sedang gangguan untuk dia.",negatif,positif,0
23,731,"kami terjebak dalam kemacetan lalu lintas yang buruk sebelum kita berpaling ke river side road. 

Ketika kami check in. Saya melihat beberapa tamu diberikan minuman selamat datang. saya menunggu pelayan untuk melayani minuman selamat datang untuk saya, tapi itu tidak pernah datang. Adalah bahwa karena saya memesan hotel ini dari yang lalu * * ? 

kami memesan 2 kamar. Dan kami mendapat 2 kamar di sisi bangunan yang berbeda, jadi kami harus turun dari lantai ke lantai 1st 5th, kemudian berjalan di seberang gedung, dan pergi ke 6th lantai ketika kami ingin pergi ke kamar lain. Adalah bahwa karena saya memesan hotel ini dari yang lalu * * ? 

saya harap tidak.",negatif,positif,0
24,63,"Hotel ini cocok lah untuk orang2 yang gak suka keramaian, krn hotel ini bener2 tenang..untuk kamar yahh cukup baik,bersih dan nyaman, untuk fasilitas yang diberikan juga bagus, sarapannya oke lahhhh..untuk pelayananya baik dan ramah... ",positif,positif,1
25,64,"Loved it :). Lokasi sejuk dan jauh dari keramaian. Makanan oke.. Interior modern dan bersih. Garden dan swimming pools nya bagus.. Service nya baik. Dan yang penting , harga juga oke banget.. Cocok buat staycations.. ",positif,positif,1
26,67,"Selama 2 hari menginap disini, cukup puas dengan pelayanan di hotel harris. dan kebetulan pas hari ulang tahun, saya jadi dapat surprise berupa dekor dan kue ulang tahun dari harris (mungkin istri saya sudah menelpon marketingnya untuk surprise) :D. yang suka dari hotel ini, yaitu kolam renangnya yg besar, dan ada perosotan yang bikin anak saya senang. menu breakfast juga lumayan enak dan banyak, dan untuk ke batu atau bandara juga cuma 30 menit. pkknya strategis dan cukup berkesan menginap disini. :). ",positif,positif,1
27,68,"Salah satu konsep hotel harris dan jaringannya yang saya suka adalah adanya fasilitas untuk anak-anak, mulai dari kolam renang dan aktivitas kreatif untuk anak yang lainnya. Sehingga anak-anak tidak bosan selama dihotel ketika kita harus melakukan urusan bisnis, kerja atau urusan lainnya.. ",positif,positif,1
28,69,"hotelnya bagus, bersih, nyaman. kamarnya cukup baik, breakfastnya juga enak, meskipun agak masuk dikit dari jalan provinsi tapi tetep nyaman. ruangan meetingnya cukup besar. ada layanan anter jemput kalo lagi jumatan. ",positif,positif,1
29,70,"Kunjungan pertama waktu sampai ke lokasi, wow.. keren. Bangunan dan tamannya terlihat minimalis modern asri. Apalagi letaknya di dalam area perumahan elite. Saya mendapat kamar yang langsung menghadap kolam. Terdapat pintu menghadap taman. Asyik dibuat jalan pagi dan kalau mau renang. Pelayanan ramah. Kekurangannya hanya satu, suasana kamar agak kurang terawat dari segi furniture. Ruangan agak lembab. Overal, I was having fun staying here... ",positif,positif,1
30,71,"Hotelnya sangat nyaman, bersih. Fasilitas olahraga cukup lengkap. Kolam renang anak, dino kids club bikin anak2 betah stay disini.. Lokasinya tenang. Di dlm perumahan yg asri. Sayang akses jalannya sering kali macet.. ",positif,positif,1
31,72,Hotel ini sangat berkesan. Dengan suasana yang tenan serta suasana yang bersih dan segar.. Dengan kolam renang yang luas. Dan yang suka dengan ketenangan hotel ini pas. Karena jauh dari kota serta kebisingan.. . Makanan cukup bervariasi namun cukup. Rasa yang enak dan lezat.. . Pelayanan yang cukup ramah. Berharap pelayanan ditingkatkan.. . Dan jika kami ke Malang lagi. Akan berkunjung ke hotel ini .. ,positif,positif,1
32,73,Pertama kali stay di harris..agak jauh ya boo..tapi setelah lihat hotelnya busyett keren abiess cyinnn...poolnya besar banget...trus staffnya ramah2...ada fasilitas buat anak2 juga namanya saya lupa..tapi ada kayak yg jagain anak2 yang maen disitu...ada macam2 kegiatan buat anak2....bener2 nyaman stay di harris. ,positif,positif,1
33,74,"Fasilitas oke banget, Suka banget sama kolam renangnya,, Stafnya ramah2 dan helpful banget, Receptionisnya apa lagi, Serasa nginep di rumah sodara sendiri.. Kalo nginep sini rugi kalo cuma semalem, Ada sepeda yg bisa disewa buat keliling perumahan yg rindang banget, Pokoknya semua TE O PE Dahhhhh. ",positif,positif,1
34,75,"Suka banget sama hotel harris malang, pemandangan dari kamar bisa melihat gunung, suasanan tenang dan sejuk.. makanan yang ada di restorannya juga enak,,dan harganya tidak terlalu mahal, swimming poolnya bagus, staff restorannya pun ramah.. bersantai di hotel dan menikmati coffee restoran nya pun sangat menyenangkan, karna menghadap pool.... ",positif,positif,1
35,76,"Hotelnya bagus, nyaman, bersih, pemandangannya juga cukup bagus, ada kolam renang anak2, kolam renangnya ada yg buat bayi bayi.. Ada kids club juga. Bisa sewa sepeda untuk jalan-jalan di sekitar perumahan. Sayang jauh dari kota. ",positif,positif,1
36,77,"Tempatnya nyaman.. rindang banyak pepohonan, view dr kamar oke dan staffnya ramah. Kamarnya bersih dan nyaman, sementara fasilitas hotelnya banyak dan ada shuttle bus pula.. so far sangat puas dgn hotel ini.. ",positif,positif,1
37,78,"Aman nyaman tentram. Segala sesuatu nya berjalan dengan baik di hotel harris. Apabila kalian sedang berkunjung ke malang, cobalah untuk menginap di hotel harris. Petugasnya ramah dan siap membantu. Thx. ",positif,positif,1
38,79,"Cheers.... . Amazing helpful service dari semua team harris malang, khususnya Terima kasih untuk Bu Rika yang membalas email saya dan memberikan info untuk special rate, lalu dilanjutkan Pak Eko yang menjawab pertanyaan pertanyaan dengan jelas, Mba Ella membantu proses check in dengan sangat detail dan menginformasikan tentang kota malang, Mba safira membantu proses check out dengan cepat... Cuma sayang tv aga sedikit runyem walau sudah dibetulkan oleh team engineering... Tapi tak apa semual terobati dengan service dan senyum kalian.... ",positif,positif,1
39,80,"waktu pertama kali menginap di harris hotel, kita sekeluarga tertarik dengan kolam renangnya yang besar, banyak jumlahnya, bersih dan terawat. untuk breakfastnya jenis makanannya bermacam-macam dan enak rasanya. thanks. ",positif,positif,1
40,81,"Ini kedua kalinya kami menginap di Harris Malang dan buat kami sekeluarga ini best Hotel in Malang, tempatnya tenang dan dikelilingi pohon dan sangat rindang, cocok banget buat keluarga dan nyaman bgt, apalagi dengan pelayanan dr Pak Eko, salah satu staf reservasi yg helpful dan ramah bgt.. This hotel Very recomended, dan kami pasti akan kembali lagi utk stay di Harris Malang setiap kami liburan ke malang.. ",positif,positif,1
41,82,Hotel ini cocok bagi anda yang benar - benar beristirahat dan menikmati suasana alam. Banyak terdapat pohon - pohon yang rindang dan tidak terletak lansung di pinggir jalan.. Kamar yang disediakan hotel ini cukup luas dengan aksen bangunan bergaya Eropa atau Belanda lebih tepatnya.. Sarapan yang disediakan cukup lengkap dan kita dapat menikmati sarapan dengan view kolam renang yang indah.. ,positif,positif,1
42,83,"Thank buat front office khususnya mbk desi dan mbk ella yg sudah merekomendasikan room yg viewnya bagus untuk liburan saya kali ini. Dan terima kasih buat housekeepingnya roomnya nyaman,tenang dan bersih. Semoga bisa liburan lg di harris malang. ",positif,negatif,0
43,84,"Menginap di Harris Hotel n Convention merupakan pengalaman yg mengesankan. Perjalanan masuk hotel yg bernuansa alam... kamar bersih fasilitas super duper lengkap, kolam renang cocok utk liburan keluarga krn kolam renang ada kecil, sedang dan besar. Tp sayangnya aroma kaporitx berasa bgt. Aniway pgn bgt nginep sini lagi.... ",positif,positif,1
44,85,Sungguh konsep hotel spt harris & Conventions Malang...memberikan keamanan dan nyaman...mulai AC dan Audio nya yg Top...security...yg sigap namun ramah...pokoknya siip...saya sdh 2 kali ke hotel ini...awal tahun dgn acr bersama BADAN EKONOMI KREATIF... ,positif,positif,1
45,87,"Kali ini merupakan kunjungan ketiga ke Harris Hotel, saya selalu puas dengan pelayanan yang diberikan. Petugas yang ramah dan selalu menyapa. Lokasinya memang agak jauh dari jalan utama penghubung Malang-Surabaya dan pusat kota, tetapi menyajikan pemandangan yang menyejukkan dan menyenangkan. Pilihan menu sarapan yang beragam semakin membuat betah. Fasilitas yang ditawarkan cukup lengkap, mulai dari ballroom, boutique, fitness centre, spa, resto & cafe, dan lainnya.. ",positif,positif,1
